Department,Major,Degree,School,Course Title,Course Description,Cost
Police,Information Technology,Other,FREDERICK COMMUNITY COLLEGE,CISCO NETWORKING ROUTER TECHNOLOGIES: INTERNETWORKING 2,"Teaches skills to install, configure, customize, maintain and 
troubleshoot Cisco routers and components.",363.33
General Services,Other/Misc.,Bachelors (BA/BS),Weber State University,INTRDUCTORY PSYCHOLOGY PSY 1010,"Introduction to the scientific study of human behavior. 
",636.00
General Services,Other/Misc.,Bachelors (BA/BS),Weber State University,FLEET MANAGEMENT ATTC 3520,"Study of fleet standards, fixed operations, inventory and personnel management, financial policies and procedures. Includes financial statement analysis.",636.00
Health & Human Services,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,LEADERSHIP IN COMMUNITY/PUBLIC HEALTH NURSING,This master's specialty prepares students for advanced practice in community/public health nursing. The curriculum focuses on health promotion and disease prevention. Students explore health needs of select populations in community contexts and develop ex,1830.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),CAPELLA UNIVERSITY,HS5007 INTRODUCTION TO RESEARCH METHODOLOGY,"In this course, learners are introduced to the component elements of research. Learners examine existing literature to help them formulate researchable questions and apply sound research methods. Learners also gain insight on becoming intelligent consumer",1824.00
Health & Human Services,Not Listed,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,REAL PROPERTY,Designed to provide students with the basic concepts of real property and to enable them to perform duties relating to real property in a legal office. Students will have practice in drafting and recording the documents related to the transfer of real pro,336.00
County Attorney,Paralegal Studies,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLE OF HEALTH LIVING  HE100-3RA,"A study of current health issues focused on information for making prudent personal health decisions. Course explores lifestyle wellness and preventive medicine concepts and practices. Includes mental, social, sexual, physical, and environmental health to",261.25
County Attorney,Paralegal Studies,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,WILLS & ESTATES LA 120-3T,A practical course in the drafting of wills and probating of estates in Maryland. The instruction includes a description of the process through which an estate flows from the attorney's office through the courts. The documents to be prepared for the court,261.25
County Attorney,Paralegal Studies,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,AMERICAN GOVERNMENT PS 101-3RA,"Structure, powers, and processes of the American political system: executive, legislative, and judicial branches; civil liberties, federalism, democratic patterns and backgrounds, public opinion, pressure group politics, political parties, constitutional",261.50
Police,Criminal Justice,AA,FREDERICK COMMUNITY COLLEGE,CJ220 CRIMINAL EVIDENCE & PROCEDURE,"Examines the United States Constitutional limitations on law enforcement, emphasizing arrest, use of force and search and seizure. Rules of evidence of particular importance to the law enforcement function including: the hearsay rule and exceptions; doc",408.75
Police,Criminal Justice,AA,FREDERICK COMMUNITY COLLEGE,HUMAN RELATIONS,"Introduces students to the fundamentals of interpersonal communication and examines such communication in the context of culture, ethnicity, gender, age, and race in particular. As an experiential course, it seeks to increase the skills and sensitivity ne",408.75
Police,Criminal Justice,AA,FREDERICK COMMUNITY COLLEGE,SOCIOLOGY: CRIMINOLOGY,"Explores criminal behavior and the methods of its study, causation, types of criminal acts and offenders, punishment, correction and incarceration and prevention of crime.",408.75
Correction & Rehabilitation,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,SOCIAL PSYCHOLOGY,"Focuses on major theories in social psychology and the most recent research in the field. Topics include gender, interpersonal attraction, aggression, and prosocial behavior.",1725.00
Health & Human Services,African-American Studies,Ph.D. (DCS),HOWARD UNIVERSITY,AFRICAN POLITICAL THOUGHT - AFST 372 - 01,Focus on Nationalists groups in the U.S. and their influence on African Political Thought,305.00
Correction & Rehabilitation,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,ORGANIZATIONAL BEHAVIOR,"Analyzes the interaction of individual, group, and organizational dynamics that influence human behavior in organizations and determines appropriate management approaches to foster a productive work environment. Examines a variety of theories, models, and",105.00
Community Use Public Facilities,Other/Misc.,Certificate,GEORGE WASHINGTON UNIVERSITY,EVENT MARKETING,"This course examines how to use events to promote products, services and causes, and how to promote events themselves. Learn how to Identify and develop a promotional strategy, including the event proposal, invitations, advertising, publicity, contests, p",550.00
Transportation,Agricultural General,Other,Montgomery College Rockville Campus,CONSTRUCT PLAN READING L,Laboratory component of CT 131.,0.00
Fire/Rescue Services,Fire Protection Engineering,Bachelors (BA/BS),Waldorf College,INCENDIARY FIRE ANALYSIS INVESTIGATION,"This course examines the dynamics of ignition, flame spread, and room fire growth and explores all phases of fire and explosion investigation, financial management, and other fire department functions related to incendiary fire analysis and investigation.",607.50
Health & Human Services,Criminal Justice,Masters (MA/MS/MPH/etc.),BOSTON UNIVERSITY,YOUTH CRIME PROBLEMS,"Throughout this course, students will analyze the policy issues concerning juvenile justice and youth crime. Emphasis will be put on the scope and nature of youth crime and the young offender, as well as juvenile justice procedures, programs and instituti",1830.00
Health & Human Services,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,INTRODUCTION TO BUSINESS,"An introductory course designed to survey the field of business and its environment in order to give the student a broad overview of the principles, practices, institutions, and functions of business.",336.00
Community Use Public Facilities,Other/Misc.,Certificate,GEORGE WASHINGTON UNIVERSITY,RISK MANAGEMENT,Learn how to conduct a thorough risk assessment and develop an appropriate risk management plan for every meeting and event. Identify the key laws and regulations that impact events. Understand the key components of event contracts. Provide protection a,180.00
Health & Human Services,Health & Human Services,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,BIOLOGY 101,"Designed to satisfy the General Education science requirement, this course introduces the basic principles governing living organisms with emphasis on the molecular and cellular basis of life. Concepts in genetics, reproduction, development, evolution, an",373.34
Community Use Public Facilities,Other/Misc.,Certificate,GEORGE WASHINGTON UNIVERSITY,EVENT MARKETING,"This course examines how to use events to promote products, services and causes, and how to promote events themselves. Learn how to Identify and develop a promotional strategy, including the event proposal, invitations, advertising, publicity, contests, p",550.00
Health & Human Services,None,Non-Degree,American College of Physicians (ACP),INTERNAL MEDICINE MAINTAINANCE OF CERTIFICATION PREPARTORY COURSE,Internal Medicine Board review to prepare for recertification in 2015.,895.00
Health & Human Services,Health & Human Services,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,NUTRITION FITNESS & WELLNESS,"Study of nutrition as it relates to health and disease. Includes functions of nutrients; factors affecting nutrient intake, absorption, and utilization; and nutrient needs during the life cycle and illness. Emphasis on planning and preparing daily diets f",373.33
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),CAPELLA UNIVERSITY,HS5436 UTILIZATION OF COMMUNITY RESOURCES,"Learners in this course investigate the influence of larger social systems on human behavior and various methods of organizing and utilizing community resources. The course addresses specific topics such as theories of social organization, community organizing, self-help organizations, use of volunteers, and the use of social policy to influence human behavior.",1824.00
Health & Human Services,Community Health,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,COUPLES AND FAMILY COUNSELING,A broad theoretical and practical foundation for counseling couples and families is emphasized. It provides a survey of current approaches family and marital counseling with an emphasis on various systemic models of family function and therapeutic interve,1830.00
Community Use Public Facilities,Other/Misc.,Certificate,GEORGE WASHINGTON UNIVERSITY,RISK MANAGEMENT,Learn how to conduct a thorough risk assessment and develop an appropriate risk management plan for every meeting and event. Identify the key laws and regulations that impact events. Understand the key components of event contracts. Provide protection a,180.00
County Attorney,None,Non-Degree,Montgomery College Rockville Campus,SPANISH 101,"A beginning language course focusing on the study of Spanish language and culture. Students begin to develop the ability to communicate in Spanish through the consideration of cultural themes, language functions, and authentic situations as they acquire t",336.00
County Attorney,None,Non-Degree,Montgomery College Rockville Campus,INTRODUCTION TO THE LEGAL SYSTEM,A general perspective of the legal system and specific information about the present and potential role of the legal assistant within that system. The following topics will be studied: operation and structures of the federal and Maryland criminal and civi,0.00
Fire/Rescue Services,None,Non-Degree,UNIVERSITY OF DC,FUNDAMENTALS OF ANATOMY & PHYSIOLOGY I,"Focuses on the human body as it relates to function, organization and interrelationship of body structures as these form an integrated functional organism.
",915.00
County Attorney,Other/Misc.,AA,MONTGOMERY COMMUNITY COLLEGE,CRIMINAL LAW,"A study of the development, application, and enforcement of local, state, and federal laws; a review of criminal offenses as defined by such laws. Includes a review of court decisions pertinent to the administration of justice, such as arrests, searches,",336.00
County Attorney,Other/Misc.,AA,MONTGOMERY COMMUNITY COLLEGE,PRINCIPLE OF HEALTH LIVING,"Study of current health issues focused on information for making prudent personal health decisions. Course explores lifestyle wellness and preventive medicine concepts and practices. Includes mental, social, sexual, physical, and environmental health topi",112.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,LEADERSHIP,"Presents the importance of leadership in conjunction with various leadership traits, styles, and qualities. Enhances the importance of having a vision, the motivation to lead, social motives in the workplace, levels of morality and values, and the signifi",540.00
General Services,Other/Misc.,Bachelors (BA/BS),Weber State University,INTRODUCTION TO AUTOMOTIVE TECHNOLOGY  ATTC 3000,"An introduction to the Automotive Technology program. Degree requirements and options, internship preparation, employment opportunities, required professional publications, communication, and other topics",212.00
Housing & Community Affairs,Political Science,Bachelors (BA/BS),University of Maryland - University College,INTRODUCTION TO PSYCHOLOGY,"An introduction to professional workplace writing. Topics include context, purpose, audience, style, organization, format, technology, results, and strategies for persuasion when writing typical workplace messages. In addition to shorter assignments, a substantial formal report that incorporates data analysis and support for conclusions or recommendations is required. Assignments include composing a total of 6,000 words (approximately 25 pages).",753.00
Housing & Community Affairs,Political Science,Bachelors (BA/BS),University of Maryland - University College,IFSM 300  (INFORMATION SYSTEMS IN ORGANIZATIONS) ,An overview of information systems and how they provide value by supporting organizational objectives. The goal is to analyze business strategies to recognize how technology solutions enable strategic outcomes and to identify information system requiremen,753.00
General Services,Information Technology,Ph.D. (DCS),CAPITOL COLLEGE,RSC-801 FUNDAMENTALS OF DOCTORAL LEARNING,Doctoral programs educate students for highly specialized careers in academe or practice. Students of doctoral level programs are taught the ability to create knowledge through original research in their areas of specialization. This course will orient new doctoral students to learning at the doctoral level and prepare them for the entire program of study. Students will each develop a Doctoral Learning Contract (DLC) that will serve as guides through graduation.,1830.00
County Council,Government and Politics,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 624 WB1-4113: PUBLIC ORGANIZATIONTHEORY,Development and evolution of public organizational structures. A study of the postulated models and hypotheses of future needs for government organization.,1830.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),CAPELLA UNIVERSITY,ADDICTIONS PRE PRACTICUM,"This online course reinforces the advanced clinical addiction counseling skills developed in COUN-R5941, including building a range of therapeutic relationships, applying theory-based individual and group therapy techniques, and assessing and treating add",1648.00
Community Use Public Facilities,Communication,Certificate,George Washington University,BEST PRACTICES IN EVENT MANAGEMENT  - ON CAMPUS,This course addresses major trends and successful business practices in Event Management to provide the knowledge and tools to improve your effectiveness and profitability as an event manager. Learn to Structure and manage an event planning schedule to im,483.34
Health & Human Services,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - University College,EDTC 605-----TEACH INFO MEDIA IN DIGITAL WORLD,EDTC 605,915.00
Community Use Public Facilities,Communication,Certificate,George Washington University,MEETINGS AND CONFERENCES - ONLINE - CLASS ID 577,"Virtually every organization, from trade associations to government agencies, regularly holds large and small meetings. This course provides the basic tools to successfully plan and manage local, national and international meetings and conferences. Course",483.33
Technology Services,Information Technology,Ph.D. (DDE),Robert Morris University,DISC8140-A INFO SYSTEMS IN LEGAL CONTEXTS     - THE COST PER CLASS IS $4407,The inquiry seminar explores complex legal issues involved in information technology. Students consult and then develop case studies and vertical industry studies to examine the legal context of information technology in organizational and societal settin,1830.00
Transportation,None,Non-Degree,UNIVERSITY OF PHOENIX,PERSONAL COMPUTER Os SUPPORT,"This course is an introduction to the fundamentals of personal computer operating systems for computer software configuration, file management, performance monitoring, optimization, maintenance, recovery, and security.",840.00
Transportation,None,Non-Degree,UNIVERSITY OF PHOENIX,PERSONAL COMPUTER HARDWARE SUPPORT,"This course is an introduction to computer support fundamentals of personal computer (PC) hardware architecture, components, networking, configuration, upgrading, and repair.",840.00
Transportation,Agricultural General,Other,Montgomery College Rockville Campus,CONSTRUCT PLAN READING,"Covers construction documents, with emphasis on interpreting contract drawings. Topics include terminology, symbols, and conventions used in both commercial and residential drawings; methods and procedures for reading basic architectural and structural dr",336.00
Correction & Rehabilitation,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,HUMAN BEHAVIOR AND SOCIAL ,"This two-semester sequence includes theories of human behavior, including normal and pathological processes applicable to individuals, families, formal organizations, and communities-the last ranging from neighborhoods to the world. Further emphases
inclu",915.00
Environmental Protection,None,Non-Degree,American Public University System,GENERAL ECOLOGY EVSP416,"This course provides an intensive treatment of the field of ecology. Ecology is the scientific study of the interactions among organisms and their environment, which explains the distribution and dynamics of organisms, their traits, and the effects that t",750.00
Environmental Protection,None,Non-Degree,American Public University System,WATER SCIENCE EVSP310,"An overview course on water sources, uses, management and conservation; biological, economic, and health issues. The course will use chemical and engineering approaches to water and waste water treatment. It includes studies for assessing chemicals in wat",750.00
Police,Other/Misc.,Other,"GLOCK PROFESSIONAL, INC",GLOCK ARMORE'S COURSE,"Training is a class designed for new shooters, teaching the fundamentals of responsible gun ownership and safety. The class covers a wide range of skills and rules with both classroom instruction and live fire range time.",185.00
Finance,None,Non-Degree,Montgomery College Rockville Campus,HISTORY,"A survey of the ancient near eastern and Greco- roman societies cultures in their unique setting, exploring the path that led to the organization of cities; written communication; forms of early science, and technology; the artistic traditions in the Meso",336.00
Transportation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - College Park,ACCOUNTING INFORMATION SYSTEMS ,"A study of the use of information systems in the accounting process, with an emphasis on computer systems and internal controls. Focus is on the analytical tools necessary to evaluate users  accounting information needs and to design, implement, and maint",456.00
Police,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,MGMT 554 LEGAL ENVIRONMENT OF BUSINESS,"The purpose of this course is to provide an overview of the contemporary legal and regulatory environment of business. Specifically, it relates various laws and regulations to the major business functions such as employment, production, marketing, finance",1180.00
Health & Human Services,Health & Human Services,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PSYCHOLOGY 102,"Introduction to the fields and research methods of psychology, including such topics as biological bases of behavior, human development, perception, learning, mental disorder, and social behavior.",373.33
Health & Human Services,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,FUNCTIONAL SPOKEN SPANISH,A beginning course in functional spanish,330.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,"BMGT 110, INTRODUCTION TO BUSINESS AND MANAGEMENT ","(For students with little or no business background. Recommended preparation for many other BMGT courses.) An introduction to the fundamental concepts of business management and leadership. The objective is to understand the interrelated dynamics of business, society, and the economy. Discussion covers business principles and practices in the context of everyday business events and human affairs and from a historical perspective.",753.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,PRINCIPLES OF ACCOUNTING I,"An introduction to the basic theory and techniques of contemporary financial accounting. The objective is to identify the fundamental principles of accounting, identify and analyze business transactions, prepare financial statements, and communicate this",753.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,LIBS 150 INFORMATION LITERACY AND RESEARCH METHODS,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and et",251.00
Fire/Rescue Services,None,Non-Degree,UNIVERSITY OF DC,FUNDAMENTALS OF ANATOMY & PHYSIOLOGY II,Details a continuation of Fundamentals of Human Anatomy and Physiology I. Emphasizes body systems and how these contribute to homeostasis,915.00
Correction & Rehabilitation,Criminal Justice,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,CRIMINAL LAW,"A study of substantive criminal law, including elements of state and federal crimes. Constitutional limitations on the types of conduct that can be criminalized, affirmative defenses to criminal liability, appropriate criminal statutes and interpretive co",294.00
Correction & Rehabilitation,Criminal Justice,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,CRIMINAL EVIDENCE/PROCEDURE,An examination of the principles and techniques of criminal procedure employed during trials to determine the admissibility of physical and testimonial evidence. An analysis of laws and court decisions relating to admissibility is emphasized.,294.00
Correction & Rehabilitation,Public Administration,Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,RESEARCH AND STRATEGIC COMMUNICATIONS,This course covers research methodology and writing using the APA (American Psychological Association) manual for format and style. It encompasses an organized approach to research planning and writing by which students build on the final document through,1830.00
Fire/Rescue Services,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SWCL 710 ADVANCED GROUP METHODS,"Building upon the knowledge, attitude, and skill components of the foundation area, this course seeks to integrate these components with the therapeutic perspectives traditionally associated with the practice of clinical social work. It will demonstrate how a comprehensive bio-psychosocial assessment of the individual can be employed to underpin the provision of a wide range of social services to individuals from diverse backgrounds. Specific attention will be given to individual therapy as a social service that clinical social workers are sanctioned to deliver by our society and our profession.",1125.00
Fire/Rescue Services,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SWCL 710 PARADIGMS CLINICAL SOCIAL WORK PRACTICE,"Building upon the knowledge, attitude, and skill components of the foundation area, this course seeks to integrate these components with the therapeutic perspectives traditionally associated with the practice of clinical social work. It will demonstrate how a comprehensive bio-psychosocial assessment of the individual can be employed to underpin the provision of a wide range of social services to individuals from diverse backgrounds. Specific attention will be given to individual therapy as a social service that clinical social workers are sanctioned to deliver by our society and our profession.",705.00
Correction & Rehabilitation,Criminal Justice,AA,American Public University System,ENGLISH 102,"This course provides instruction in the writing process with a focus on persuasive and argumentative essays, and will include practice in developing a distinctive style, the methods of effective reasoning, library and on-line research. A formal research p",750.00
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,BUSINESS FINANCE,"The study and analysis of the theories and applications that the financial manager uses in making decisions. Emphasis is placed on financial analysis, economic value added, cash flow analysis, profit planning, risk and return, security valuation, and capi",336.00
Environmental Protection,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ACCOUNTING FOR GOVERNMENT AND NOT-FOR-PROFIT,"General principles of fund accounting for municipal, governmental, and nonprofit institutions. The course will emphasize fund principles, budgetary controls, and financial reporting statements.",224.00
